 Date, Team, Acquired, Relinquished, Notes
2016-01-06, Pacers, • George Hill, , returned to lineup
2016-01-06, Pelicans, • Tyreke Evans, , returned to lineup
2016-01-06, Raptors, , • Anthony Bennett, back injury (DTD)
2016-01-06, Raptors, , • DeMarre Carroll, arthroscopic surgery on right knee (out indefinitely)
2016-01-06, Wizards, • DeJuan Blair, , returned to lineup
2016-01-06, Wizards, • Gary Neal, , returned to lineup
2016-01-07, Jazz, , • Rodney Hood, right ankle injury (DTD)
 Date, Team, Acquired, Relinquished, Notes
2016-01-07, Kings, • Rajon Rondo, , returned to lineup
2016-01-07, Rockets, , • Dwight Howard, soreness/stiffness in lower back (DTD)
2016-01-07, Rockets, • Ty Lawson, , returned to lineup
2016-01-08, Bucks, , • Miles Plumlee, sore left knee (DTD)
2016-01-08, Bucks, , • Tyler Ennis, illness (DTD)
2016-01-08, Grizzlies, , • Courtney Lee, bruised left hip (DTD)
2016-01-08, Lakers, , • D'Angelo Russell, sprained right ankle (DTD)
2016-01-08, Mavericks, • Zaur Pachulia / Zaza Pachulia, , returned to lineup
2016-01-08, Pelicans, , • Anthony Davis, bruised back (DTD)
2016-01-08, Wizards, • Drew Gooden, , returned to lineup
2016-01-08, Grizzlies, , • Jarell Martin, bone bruise in left foot (DTD)
2016-01-09, Hawks, , • Jeff Teague, ankle injury (DTD)
2016-01-09, Hawks, , • Thabo Sefolosha, sore right wrist (DTD)
2016-01-09, Heat, , • Tyler Johnson, sore shoulder (DTD)
2016-01-09, Kings, , • James Anderson, strained left hamstring (DTD)
2016-01-09, Kings, • Willie Cauley-Stein, , returned to lineup
2016-01-09, Lakers, , • Brandon Bass, corneal abrasion in right eye (DTD)
2016-01-09, Nuggets, , • Jameer Nelson, strained hip flexor (DTD)
2016-01-09, Pistons, , • Marcus Morris, left knee tendinitis (DTD)
2016-01-09, Wizards, , • Nene / Nene Hilario / Maybyner Hilario, strained right triceps (DTD)
2016-01-10, Bucks, , • O.J. Mayo, sore left hamstring (DTD)
2016-01-10, Bucks, • Miles Plumlee, , returned to lineup
2016-01-10, Bucks, • Tyler Ennis, , returned to lineup
2016-01-10, Hornets, • Nicolas Batum, , returned to lineup
2016-01-10, Jazz, • Rodney Hood, , returned to lineup
 Date, Team, Acquired, Relinquished, Notes
2016-01-10, Lakers, , • Kobe Bryant, strained right Achilles (DTD)
2016-01-10, Rockets, • Dwight Howard, , returned to lineup
2016-01-11, Heat, , • Hassan Whiteside, knee injury (DTD)
2016-01-11, Heat, • Tyler Johnson, , returned to lineup
2016-01-11, Pelicans, , • Quincy Pondexter, surgery on left knee to repair cartilage damage (out for season)
2016-01-11, Wizards, , • Marcin Gortat, sore left knee (DTD)
2016-01-11, Wizards, • Nene / Nene Hilario / Maybyner Hilario, , returned to lineup
2016-01-12, Bucks, • O.J. Mayo, , returned to lineup
2016-01-12, Clippers, , • DeAndre Jordan, pneumonia (DTD)
2016-01-12, Grizzlies, , • Matt Barnes, bruised right thumb (DTD)
2016-01-12, Grizzlies, • Courtney Lee, , returned to lineup
2016-01-12, Knicks, • Louis Amundson / Lou Amundson, , returned to lineup
2016-01-12, Lakers, • Brandon Bass, , returned to lineup
2016-01-12, Lakers, • D'Angelo Russell, , returned to lineup
2016-01-12, Lakers, • Kobe Bryant, , returned to lineup
2016-01-12, Pacers, , • Rodney Stuckey, sprained right ankle/foot (DTD)
2016-01-12, Pistons, • Marcus Morris, , returned to lineup
2016-01-12, Suns, , • Alex Len, sprained left hand (DTD)
2016-01-12, Suns, , • Brandon Knight, food poisoning (DTD)
2016-01-12, Magic, , • Joe Harris, surgery on right foot (out indefinitely) (P- error?)
2016-01-12, Magic, • Joe Harris, , returned to lineup
2016-01-13, Heat, • Hassan Whiteside, , returned to lineup
2016-01-13, Kings, • James Anderson, , returned to lineup
2016-01-13, Kings, • Omri Casspi, , returned to lineup
2016-01-13, Knicks, , • Carmelo Anthony, sprained right ankle (DTD)
 Date, Team, Acquired, Relinquished, Notes
2016-01-13, Mavericks, , • Deron Williams, rest (DTD)
2016-01-13, Mavericks, , • Dirk Nowitzki, rest (DTD)
2016-01-13, Mavericks, , • Zaur Pachulia / Zaza Pachulia, sore right Achilles (DTD)
2016-01-13, Nets, , • Jarrett Jack, surgery on right knee to repair torn ligament (out for season)
2016-01-13, Pelicans, • Anthony Davis, , returned to lineup
2016-01-13, Warriors, , • Draymond Green, rest (DTD)
2016-01-13, Wizards, • Bradley Beal, , returned to lineup
2016-01-14, 76ers, , • Jerami Grant, strained left calf (DTD)
2016-01-14, Bucks, , • O.J. Mayo, sore left hamstring (DTD)
2016-01-14, Bulls, , • Derrick Rose, left knee patellar tendinitis (DTD)
2016-01-14, Grizzlies, • Matt Barnes, , returned to lineup
2016-01-14, Heat, , • Chris Andersen, sore left knee (DTD)
2016-01-14, Hornets, , • Jeremy Lamb, sprained right big toe (DTD)
2016-01-14, Magic, • Elfrid Payton, , returned to lineup
2016-01-15, Bucks, , • Jerryd Bayless, sprained left ankle (DTD)
2016-01-15, Bucks, , • O.J. Mayo, sore left hamstring (DTD)
2016-01-15, Bulls, , • Joakim Noah, separated left shoulder (out for season)
2016-01-15, Bulls, • Derrick Rose, , returned to lineup
2016-01-15, Hawks, • Thabo Sefolosha, , returned to lineup
2016-01-15, Heat, , • Dwyane Wade, sore shoulder (DTD)
2016-01-15, Mavericks, • Deron Williams, , returned to lineup
2016-01-15, Mavericks, • Zaur Pachulia / Zaza Pachulia, , returned to lineup
2016-01-15, Suns, , • Ronnie Price, surgery on right big toe to remove loose bodies (out indefinitely)
2016-01-15, Wizards, , • Otto Porter Jr., sore right hip (DTD)
2016-01-16, 76ers, , • Nik Stauskas, bruised left shoulder (DTD)
 Date, Team, Acquired, Relinquished, Notes
2016-01-16, Bucks, , • O.J. Mayo, sore left hamstring (DTD)
2016-01-16, Jazz, , • Trevor Booker, concussion (DTD)
2016-01-16, Suns, • Brandon Knight, , returned to lineup
2016-01-16, Wizards, , • Drew Gooden, sore left / right (Y) calf (DTD)
2016-01-17, Bulls, , • Kirk Hinrich, bruised left quadricep (DTD)
2016-01-17, Heat, , • Beno Udrih, strained neck (DTD)
2016-01-17, Heat, • Dwyane Wade, , returned to lineup
2016-01-17, Nuggets, , • Jameer Nelson, sprained right wrist (DTD)
2016-01-17, Pacers, , • Ian Mahinmi, sore left heel (DTD)
2016-01-17, Rockets, , • Patrick Beverley, ankle injury (DTD)
2016-01-18, 76ers, • Jerami Grant, , returned to lineup
2016-01-18, Clippers, • DeAndre Jordan, , returned to lineup
2016-01-18, Grizzlies, • Mike Conley Jr., , returned to lineup
2016-01-18, Jazz, • Trevor Booker, , returned to lineup
2016-01-18, Knicks, , • Kevin Seraphin, bruised right rib (DTD)
2016-01-18, Knicks, • Carmelo Anthony, , returned to lineup
2016-01-18, Nets, , • Andrea Bargnani, sore right ankle (DTD)
2016-01-18, Pelicans, , • Tyreke Evans, right knee injury (DTD)
2016-01-18, Rockets, • Patrick Beverley, , returned to lineup
2016-01-19, Bucks, , • O.J. Mayo, sore left hamstring (DTD)
2016-01-19, Bulls, , • Joakim Noah, surgery on left shoulder to repair separation (out for season)
2016-01-19, Knicks, , • Lance Thomas, sore left knee (DTD)
2016-01-19, Pacers, • Ian Mahinmi, , returned to lineup
2016-01-19, Pelicans, , • Eric Gordon, fractured right ring finger (DTD)
2016-01-19, Pelicans, • Tyreke Evans, , returned to lineup
 Date, Team, Acquired, Relinquished, Notes
2016-01-19, Suns, , • Jon Leuer, lower back spasms (DTD)
2016-01-19, Suns, • Alex Len, , returned to lineup
2016-01-20, Heat, , • Dwyane Wade, sore shoulder (DTD)
2016-01-20, Heat, , • Hassan Whiteside, strained oblique (DTD)
2016-01-20, Knicks, • Kevin Seraphin, , returned to lineup
2016-01-20, Nets, • Andrea Bargnani, , returned to lineup
2016-01-20, Pelicans, , • Eric Gordon, surgery to repair fractured right ring finger (out indefinitely)
2016-01-20, Rockets, , • Patrick Beverley, sprained left ankle (DTD)
2016-01-20, Spurs, , • (William) Tony Parker, right hip injury (DTD)
2016-01-21, Grizzlies, , • Tony Allen, sore left knee (DTD)
2016-01-21, Heat, , • Hassan Whiteside, hip injury (DTD)
2016-01-21, Hornets, , • Cody Zeller, strained right shoulder (DTD)
2016-01-21, Hornets, , • Nicolas Batum, sprained right toe (DTD)
2016-01-21, Kings, , • Rudy Gay, bruised left heel (DTD)
2016-01-21, Rockets, , • Dwight Howard, sprained left ankle (DTD)
2016-01-21, Suns, , • Brandon Knight, strained left abductor (P) / adductor (CBC) (DTD)
2016-01-21, Suns, , • Markieff Morris, strained right shoulder (DTD)
2016-01-21, Suns, , • Mirza Teletovic, sprained left ankle (DTD)
2016-01-21, Suns, , • P.J. Tucker, bruised chest (left game)
2016-01-22, Bucks, , • O.J. Mayo, sore left hamstring (DTD)
2016-01-22, Celtics, , • Jordan Mickey, ankle injury (already on IL)
2016-01-22, Heat, , • Hassan Whiteside, strained left hip (DTD)
2016-01-22, Heat, , • Luol Deng, scratched eye (DTD)
2016-01-22, Heat, • Dwyane Wade, , returned to lineup
2016-01-22, Hornets, • Jeremy Lamb, , returned to lineup
 Date, Team, Acquired, Relinquished, Notes
2016-01-22, Pacers, , • Ian Mahinmi, sprained left ankle (DTD)
2016-01-22, Rockets, , • Montrezl Harrell, bruised shoulder (DTD)
2016-01-22, Thunder, , • Steven Adams, sprained right elbow (DTD)
2016-01-22, Warriors, • Steve Kerr, , returned as head coach
2016-01-23, Bucks, , • O.J. Mayo, sore left hamstring (DTD)
2016-01-23, Hornets, , • Jeremy Lamb, sprained right big toe (DTD)
2016-01-23, Nuggets, , • Kenneth Faried, sore left abductor / adductor (DTD)
2016-01-23, Pelicans, , • Dante Cunningham, illness (DTD)
2016-01-23, Suns, • Mirza Teletovic, , returned to lineup
2016-01-23, Rockets, • Montrezl Harrell, , returned to lineup
2016-01-24, 76ers, • Nik Stauskas, , returned to lineup
2016-01-24, Mavericks, , • Jeremy Evans, sore shoulder (DTD)
2016-01-24, Rockets, • Patrick Beverley, , returned to lineup
2016-01-24, Spurs, , • Tim Duncan, sore right knee (DTD)
2016-01-25, Bucks, • Jason Kidd, , returned as head coach
2016-01-25, Bulls, , • E'Twaun Moore, strained right hamstring (DTD)
2016-01-25, Grizzlies, • Tony Allen, , returned to lineup
2016-01-25, Heat, • Beno Udrih, , returned to lineup
2016-01-25, Heat, • Luol Deng, , returned to lineup
2016-01-25, Jazz, • Derrick Favors, , returned to lineup
2016-01-25, Kings, • Rudy Gay, , returned to lineup
2016-01-25, Knicks, , • Carmelo Anthony, sore left knee (DTD)
2016-01-25, Lakers, , • Ryan Kelly, illness (DTD)
2016-01-25, Nuggets, • Kenneth Faried, , returned to lineup
2016-01-25, Pelicans, , • Anthony Davis, concussion (DTD)
 Date, Team, Acquired, Relinquished, Notes
2016-01-25, Pelicans, • Dante Cunningham, , returned to lineup
2016-01-25, Thunder, , • Andre Roberson, sprained right knee (DTD)
2016-01-25, Timberwolves, , • Kevin Martin, sore right wrist (DTD)
2016-01-25, Wizards, • Otto Porter Jr., , returned to lineup
2016-01-25, Grizzlies, • Jarell Martin, , returned to lineup
2016-01-26, 76ers, , • JaKarr Sampson, upper respiratory infection (DTD)
2016-01-26, Bucks, , • O.J. Mayo, sore left hamstring (DTD)
2016-01-26, Clippers, , • Blake Griffin, fractured right hand (off court injury) (out indefinitely)
2016-01-26, Kings, , • Rudy Gay, left eye injury (DTD)
2016-01-26, Knicks, • Lance Thomas, , returned to lineup
2016-01-26, Pacers, • Ian Mahinmi, , returned to lineup
2016-01-26, Suns, • Markieff Morris, , returned to lineup
2016-01-26, Thunder, • Steven Adams, , returned to lineup
2016-01-27, Bulls, , • Nikola Mirotic, surgery to remove appendix (out indefinitely)
2016-01-27, Hornets, , • Jeremy Lin, sprained right ankle (DTD)
2016-01-27, Hornets, • Nicolas Batum, , returned to lineup
2016-01-27, Mavericks, , • Dirk Nowitzki, rest (DTD)
2016-01-27, Nuggets, , • Joffrey Lauvergne, infection in right toe (DTD)
2016-01-27, Rockets, • Dwight Howard, , returned to lineup
2016-01-27, Thunder, , • Cameron Payne, concussion (DTD)
2016-01-28, Blazers, , • Pat Connaughton, bone bruise in left ankle (DTD)
2016-01-28, Bucks, , • John Henson, sore lower back (DTD)
2016-01-28, Bulls, , • Nikola Mirotic, recovering from surgery to remove appendix (DTD)
2016-01-28, Bulls, • E'Twaun Moore, , returned to lineup
2016-01-28, Hawks, , • Paul Millsap, sprained left ankle (DTD)
 Date, Team, Acquired, Relinquished, Notes
2016-01-28, Knicks, , • Jose Calderon, sore right groin (DTD)
2016-01-28, Knicks, , • Kristaps Porzingis, upper respiratory illness (DTD)
2016-01-28, Lakers, • Ryan Kelly, , returned to lineup
2016-01-28, Pelicans, , • Tyreke Evans, right knee injury (out for season)
2016-01-29, Clippers, , • Paul Pierce, rest (DTD)
2016-01-29, Knicks, • Carmelo Anthony, , returned to lineup
2016-01-29, Knicks, • Kristaps Porzingis, , returned to lineup
2016-01-29, Suns, • Jon Leuer, , returned to lineup
2016-01-30, 76ers, • JaKarr Sampson, , returned to lineup
2016-01-30, Hornets, , • Nicolas Batum, sprained right toe (DTD)
2016-01-30, Kings, , • DeMarcus Cousins, sprained left ankle (DTD)
2016-01-30, Kings, , • Marco Belinelli, gastroenteritis (DTD)
2016-01-30, Kings, • Rudy Gay, , returned to lineup
2016-01-30, Pacers, , • Ian Mahinmi, sore lower back (DTD)
2016-01-30, Pelicans, • Anthony Davis, , returned to lineup
2016-01-30, Pistons, , • Ersan Ilyasova, thigh injury (DTD)
2016-01-30, Warriors, , • Andre Iguodala, rest (DTD)
2016-01-31, Bulls, • Kirk Hinrich, , returned to lineup
2016-01-31, Hornets, • Jeremy Lin, , returned to lineup
2016-01-31, Suns, , • T.J. Warren, fractured right foot (out for season)
2016-01-31, Warriors, • Andre Iguodala, , returned to lineup
2016-02-01, Grizzlies, , • Matt Barnes, right hamstring injury (DTD)
2016-02-01, Kings, , • Ben McLemore, sore/sprained right wrist (DTD)
2016-02-01, Kings, • Marco Belinelli, , returned to lineup
2016-02-01, Mavericks, , • Deron Williams, bruised hip (DTD)
 Date, Team, Acquired, Relinquished, Notes
2016-02-01, Pistons, • Ersan Ilyasova, , returned to lineup
2016-02-02, Blazers, • Pat Connaughton, , returned to lineup
2016-02-02, Rockets, , • Clint Capela, strained left hip flexor (DTD)
2016-02-02, Rockets, , • Montrezl Harrell, illness (DTD)
2016-02-03, Bulls, , • Jimmy Butler, left knee tendinitis (DTD)
2016-02-03, Heat, , • Tyler Johnson, surgery on left shoulder (out indefinitely)
2016-02-03, Hornets, , • Kemba Walker, sore left knee (DTD)
2016-02-03, Hornets, • Jeremy Lamb, , returned to lineup
2016-02-03, Hornets, • Nicolas Batum, , returned to lineup
2016-02-03, Kings, • Ben McLemore, , returned to lineup
2016-02-03, Kings, • DeMarcus Cousins, , returned to lineup
2016-02-03, Nuggets, , • Darrell Arthur, sore left quadricep (DTD)
2016-02-04, Pistons, , • Kentavious Caldwell-Pope, strained groin (CBC) / strained core muscle (P) (DTD)
2016-02-04, Rockets, • Clint Capela, , returned to lineup
2016-02-04, Spurs, , • Emanuel Ginobili / Manu Ginobili, surgery to repair testicle injury (out indefinitely)
2016-02-04, Rockets, , • Sam Dekker, sore lower back (DTD)
2016-02-05, Bulls, , • Pau Gasol, sprained left hand (DTD)
2016-02-05, Bulls, • Jimmy Butler, , returned to lineup
2016-02-05, Clippers, , • Austin Rivers, fractured left hand (DTD)
2016-02-05, Grizzlies, • Matt Barnes, , returned to lineup
2016-02-05, Hornets, • Kemba Walker, , returned to lineup
2016-02-05, Knicks, , • Lance Thomas, concussion (DTD)
2016-02-05, Magic, , • Tobias Harris, sore left ankle (DTD)
2016-02-06, 76ers, , • Ishmael Smith / Ish Smith, sprained left ankle (DTD)
2016-02-06, Blazers, , • Allen Crabbe, illness (DTD)
 Date, Team, Acquired, Relinquished, Notes
2016-02-06, Bulls, , • Jimmy Butler, sprained left knee (DTD)
2016-02-06, Bulls, • Pau Gasol, , returned to lineup
2016-02-06, Cavaliers, , • Kevin Love, bruised left quadriceps (DTD)
2016-02-06, Jazz, , • Trey Burke, flu (DTD)
2016-02-06, Pacers, • Ian Mahinmi, , returned to lineup
2016-02-06, Rockets, , • Sam Dekker, sore lower back (DTD)
2016-02-06, Rockets, • Montrezl Harrell, , returned to lineup
2016-02-06, Spurs, , • Matt Bonner, sore/strained left calf (DTD)
2016-02-07, Kings, , • Ben McLemore, sprained right wrist (DTD)
2016-02-07, Kings, , • Rudy Gay, sprained left ankle (DTD)
2016-02-08, 76ers, • Ishmael Smith / Ish Smith, , returned to lineup
2016-02-08, Bulls, , • Derrick Rose, general soreness (DTD)
2016-02-08, Cavaliers, • Kevin Love, , returned to lineup
2016-02-08, Clippers, , • Paul Pierce, rest (DTD)
2016-02-08, Grizzlies, , • Marc Gasol, fractured right foot (out for season)
2016-02-08, Kings, • Rudy Gay, , returned to lineup
2016-02-08, Nets, , • Sergey Karasev, illness (DTD)
2016-02-08, Warriors, , • Festus Ezeli, surgery on left knee to remove loose bodies (out indefinitely)
2016-02-09, Nets, , • Willie Reed, sore groin (DTD) (Y)
2016-02-09, Rockets, , • Sam Dekker, sore lower back (DTD)
2016-02-09, Spurs, , • Kyle Anderson, illness (DTD)
2016-02-09, Spurs, , • Matt Bonner, strained left calf (DTD)
2016-02-10, 76ers, , • Nerlens Noel, right knee patella tendinitis (DTD)
2016-02-10, Bulls, • Derrick Rose, , returned to lineup
2016-02-10, Magic, , • Jason Smith, back spasms (DTD)
 Date, Team, Acquired, Relinquished, Notes
2016-02-10, Nets, • Sergey Karasev, , returned to lineup
2016-02-10, Pistons, , • Ersan Ilyasova, illness (DTD)
2016-02-10, Pistons, , • Reggie Bullock, fractured nose (DTD)
2016-02-10, Pistons, , • Reggie Jackson (b), illness (DTD)
2016-02-10, Pistons, , • Spencer Dinwiddie, sore ankle (DTD)
2016-02-10, Spurs, , • (William) Tony Parker, left ankle injury (DTD)
